년,월,일,start_time,end_time,장소,인원,위도,경도,비고
2025,10,03,11:00,13:00,"[""송현공원"", ""보신각""]",250,"[null, null]","[null, null]",종 로 송현동 등
2025,10,03,11:00,16:30,"[""현충원 입구"", ""광화문 월대""]",500,"[null, null]","[null, null]","종 로 남대문 용 산 동 작 종 로 3,000명 남대문 혜 화 종 로 혜 화 5,000명 한강대로 등"
2025,10,03,12:00,18:00,"[""서울역 4出"", ""종로5R""]",,"[null, null]","[null, null]",동자동 등
2025,10,03,12:30,14:00,"[""혜화역 1出"", ""서린R 동화면세점"", ""대한문 / 교보빌딩 광화문 2出 종 로""]",,"[null, null, null]","[null, null, null]",동숭동 등
2025,10,03,14:30,16:00,"[""동대문역 10出"", ""광화문 월대""]",10000,"[null, null]","[null, null]",용 산 종 로 혜 화 종로 등
2025,10,03,15:00,17:00,시청 동편 ⇄ 한은R,1500,[null],[null],종 로 남대문 종로 등
2025,10,03,16:00,20:00,고궁박물관 앞 2개차로,10000,[null],[null],종 로 사직로
2025,10,04,13:00,16:00,베를린 광장 ⇄ 종1R,300,[null],[null],종 로 남대문 14:0~17:00 종로타워 → 송현공원 <우정국로 등> 300명 종 로 장교동 등
2025,10,04,16:00,18:00,SK서린빌딩 ⇄ 안국R,300,[null],[null],종 로 남대문 서린동 등
2025,10,05,11:00,13:00,"[""동화면세점"", ""코리아나 호텔 앞 편도 全차로""]",50000,"[null, null]","[null, null]",종 로 남대문 세종대로
